company_id,speciality
9707,Continuous Delivery & DevOps
9707,Digital Execution
9707,Applications Management
9707,UX/Creative Services
9707,Testing Services
9707,Distributed Agile Development
9707,Service Desk
9707,Cloud
9707,Insight Through Data
9707,Digital Evolution
9707,Agile Transformation
9707,Automation
1318,Consulting
1318,Business Process Outsourcing
1318,Business Application Services
1318,Infrastructure Management
1318,Cloud Services
1318,Analytics and Information Management
1318,Product and Engineering Services
1318,Mobility
1318,Datacentre Managed Services
1318,Software application management
8014,Healthcare
8014,SaaS
8014,Supply chain management
8014,Automation
91165670,Creative
91165670,Branding
91165670,Content strategy
91165670,Influencer Marketing 
91165670,Digital analytics
91165670,Search engine optimization (SEO)
91165670,Social media engagement
91165670,Digital Marketing 
91165670,Performance Marketing 
91165670,Website Desiging
91165670,Marketing automation
91165670,Campaign tracking
91165670,Data-driven insights
91165670,Competitive analysis
91165670,Lead generation
19126858,Cybersecurity
19126858,Managed Services
19126858,Global Data Centers
19126858,Cloud Infrastructure
19126858,Cloud Communication
19126858,Global Networks
19126858,Security
19126858,Transformaton and Platform Services
19126858,ICT Infraststructure Services
19126858,Global Business
19126858,Communications Lifecycle Management
19126858,Innovation
19126858,Research and Development
19126858,Connected Conservation
19126858,Smart Cities
19126858,Connected Sports
19126858,Connected Agriculture
19126858,Connected Mobility
19126858,Connected Healthcare
19126858,Connected Factories
14499827,Data Science
14499827,Machine Learning
14499827,Computer Vision
1756,Manufacturing
1756,Aerospace & Defense
1756,Financial Services
1756,Telecom
1756,Retail & CPG
1756,Life Sciences & Healthcare
1756,Media & Entertainment
1756,Travel
1756,Transportation & Logistics
1756,Automotive
1756,Government
1756,Energy & Utilities
1756,Consumer Electronics
1756,Healthcare
1756,Cloud
1756,Digital
1756,Engineering
1756,AI
1756,Technology and Services
1756,Software
77364936,Advertising
77364936,DOOH
77364936,OOH
77364936,Marketing
3998479,Consulting
3998479,Mobile Development
3998479,MSP/VMS Staffing
3998479,Cloud Computing
3998479,Product Engineering
3998479,Cybersecurity Solutions
3998479,staffing
3998479,recruiting
3998479,hiring
3998479,multi national company
3998479,talent pool
3998479,recruitment consultancy
3998479,technology 
3998479,recruiting solutions 
37093,SaaS
37093,Construction
37093,BIM
37093,Collaboration
37093,eProcurement
37093,Supply Chain Management
37093,Cloud collaboration
37093,Business Process Management
37093,Common Data Environment
37093,Information Management
37093,Capital Projects
37093,Infrastructure Development
37093,Digital Twin
37093,Building Information Modelling
37093,Data
37093,Interoperability
37093,Project Financials
37093,Contract Management
37093,Portfolio Project Management
37093,Asset Information Management
37093,Construction Technology
18649748,SaaS
18649748,Marketing
18649748,Advertising
18649748,CRM
2355687,Water & Environment
2355687,Roads & Transportation
2355687,Buildings & Industries
2355687,Urban & Regional Planning
2355687,Testing & Investigations
2355687,Facility Management
2355687,Architecture
2355687,Design
2355687,Construction Supervision
2355687,Third Party Inspection
2355687,Project Management
2355687,Government Advisory
110048947,Career Development
110048947,Talent Mentorship
110048947,Performance Coaching
110048947,Startup Growing
110048947,Entrepreneurship Enablement
7190,Big Data Consulting
7190,Data Plumbing
7190,Software Product Engineering
7190,Customer Relationship Management
7190,ERP and Business Analytics
7190,Infrastructure Services
7190,Product Lifecycle Management
7190,Digital Solutions
7190,Data Analytics
7190,Mobility
7190,Testing as a Service
7190,Supply Chain Management
7190,Business Consulting
7190,Software Engineering
7190,IT Services
7190,IT Solutions
7190,Big Data
7190,Hadoop
7190,Data Lake
7190,Smart Loyalty
7190,Intelligent Planning & Execution
7190,Hyper Automation
7190,Experience SLA
7190,Cloud Integrated DevOps
7190,Cloud Automation
7190,Digital Workplace
7190,Digital Persona
7190,Data Engineering
7190,Data Science
7190,Anaplan Implementation
7190,Salesforce Implementation
7190,Customer Engagement
7190,Supply Chain Simulation
7190,Supply Chain Planning
7190,Supply Chain Optimization
7190,Product Design
7190,Digital Product Design
7190,Engineering Simulation
7190,Smart Factory
7190,Intelligent Factory
7190,Manufacturing Intelligence Platform
7190,Smart Manufacturing
7190,SaaS
7190,Windchill
105587758,Digital Forensics
105587758,Incident Response
105587758,SOC as a Service
71966762,Drone training
71966762,Cargo UAV
71966762,Agriculture Drone Training
71966762,Research and Development
164197,"Food, Fast Moving Consumer Packaged Goods"
164197,CPG
164197,Consumer Packaged Goods
3565199,BIM
3565199,Construction Productivity
3565199,Integrated Digital Delivery
3565199,Virtual Design & Construction
3565199,Digital Transformation
3565199,Construction Tech
3565199,Modular
3565199,PPVC
3565199,PBU
3565199,PMU
3565199,DfMA
3565199,AI in Construction
3565199,safety in construction
3565199,Digital Twin
2494361,"BI, Analytics and Automation"
2494361,Cloud
2494361,Digital
2494361,Applications Modernization
2494361,Infrastructure Management
2494361,Security and Hosting
2494361,BPO
2494361,Financial Services and Insurance
2494361,Healthcare
2494361,Public Sector
2494361,Manufacturing and Commercial Industries
2494361,Consulting
5300,Application Software Development
5300,Product Engineering
5300,Testing
5300,Software Quality Assurance
5300,IT Infrastructure Management
5300,Architecture Consulting
5300,Security Consulting
5300,Automotive Software
5300,Energy Software
5300,Telecom Software
5300,Software
5300,Blockchain
5300,Consulting
5300,Digital Engineering
5300,Telecom
35886973,CRM
35886973,Salesforce
35886973,MS Dynamics 365
35886973,SuiteCRM
35886973,SugarCRM
35886973,Salesforce CRM
35886973,Apex
35886973,vlocity
35886973,Salesforce Consulting
35886973,Salesforce Implementation
35886973,CPQ
35886973,Lightning Development
35886973,Community Cloud
35886973,Service Cloud
35886973,Sales Cloud
35886973,CRM Consulting
35886973,AgentForce
35886973,Cloud Technology
35886973,Marketing Automation
4025,Cyber
4025,Data Solutions
4025,Consulting & Advisory
4025,Power & Energy
4025,Architecture & Planning
4025,Civil Engineering
4025,Defense & Space
4025,Renewables & Environment
4025,Mechanical or Industrial Engineering
4025,Aviation & Aerospace
4025,Software Engineering
4025,Pharmaceuticals 
4025,Information Technology and Services
4025,Semiconductors
4025,Water/Wastewater
4025,Transportation/Rail
4025,Electrical Engineering
4025,Structural Engineering
4025,Systems Engineering
1775796,A/B Testing
1775796,Website Optimization
1775796,Behavioral Targeting
1775796,Web Analytics
1775796,Conversion Rate Optimization
1508,"Leader in banking , insurance and financial services"
13632477,Interior Designing/Architecture/Construction
13632477,Business management
13632477,Marketing
13632477,Project management
13632477,Risk Management
79776182,SCM
79776182,ERP
79776182,MSP
79776182,product development services
79776182,implementation partners
79776182,IT Outsourcing
79776182,Consulting
79776182,Permanent Staffing
79776182,Contractual Staffing
79776182,Payroll Services
79776182,IT services
79776182,HR
79776182,IT Technology
67217917,Network Infra
67217917,Ai Flowchart
67217917,Data storage
67217917,Healthcare
67217917,Retrieval Augmented Generation(LLM)
104822035,Healthcare Supply Chain
66922985,iPhone App Dev
66922985,iPad App Dev
66922985,Android App Dev
66922985,Mobile Web Dev
66922985,Java Dev
66922985,PHP Web Dev
66922985, Ruby on Rails Dev
66922985,CMS Web Dev
66922985,Drupal Dev
66922985,Joomla Dev
66922985,WordPress Dev
66922985,UX Design
66922985, ASP.NET Dev
66922985, Internet of Things
66922985,PPC
66922985,SMO
66922985,SEO
66922985,Social Media Marketing
66922985,Digital Marketing
66922985,Ecommerce Website Development
66922985,Website Design
66922985,outsourcing
66922985,outsourcing it service
66922985,blockchain developer
66922985,AEM 
66922985,AEM SITES
66922985,AEM ASSETS
13646569,recruitment
13646569,hr services
13646569,payroll
13646569,manpower services
13646569,contract staffing
13646569,counselling
13646569,career counselling
13646569,HRIT Operations
13646569,event hostesses
13646569,corporate event hostesses
13646569,career guidance
13646569,interview skills classes
13646569,soft skills
13646569,outsourcing
13646569,hr training
13646569,leader training
13646569,hr audit
13646569,executive search
13646569,campus placement
13646569,start up guide
13646569,international recruitment
13646569,doctors recruitment
13646569,labour recruitment
13646569,gulf recruitment
1353,IT Services
1353,Business Solutions
1353,Consulting
9215331,Management Consulting
9215331,Systems Integration and Technology
9215331,Business Process Outsourcing
9215331,Application and Infrastructure Outsourcing
9215331,Digital
9215331,Technology
9215331,Strategy
9215331,Cloud
9215331,Analytics
9215331,Artificial Intelligence
9215331,Blockchain
9215331,Security
1957898,Microsoft Solutions
1957898,Azure
1957898,Disaster Recovery
1957898,Data Platform
1957898,Data Analytics
1957898,Application Development
1957898,Cybersecurity
1957898,AI
1957898,Cloud
1957898,Consulting
1957898,Outsource Teams
1957898,Microsoft 365
1957898,OT Security
1957898,Gen AI
1957898,Managed Detection and Response
1957898,Managed Services
1957898,Microsoft Security
1957898,Responsible AI
1957898,Security Operations Center
1957898,Data Governance
1957898,AI Security
1957898,Quality Assurance
1957898,Microsoft 365 Copilot
1957898,Microsoft Fabric
1957898,Microsoft Purview
1957898,Azure Virtual Desktop
1957898,Zero Trust
1957898,Penetration Testing
1957898,AI Agents
9210946,vehicle remarketing
9210946,dealer services
9210946,mobile technology
9210946,Dealer-only
9210946,online wholesale
9210946,technology solutions
9210946,car auctions
9210946,digital auctions
9210946,marketplaces
435210,Programming Challenges
435210,Technical Recruiting
435210,Technical Candidate Filtering
435210,Coding Tests
435210,Recruiting
435210,Tech Recruiting
435210,Recruiting Software
435210,Hiring Solutions
435210,hackerrank interview
2148,Energy Efficiency
2148,Mobility
2148,Security
2148,decarbonization
2148,digitalization
2148,Internet of Things
299022,Architectural
299022,Engineering and Construction Management
299022,Project Management
299022,Facility Qualification and Validation
299022,EPCmV
299022,EPC
299022,Project Life-Cycle Management
299022,Turnkey Projects
299022,HVAC
299022,Electrical
299022,Structural Engineering
299022,Instrumentation
299022,Process Engineering
299022,Fire & Life Safety
166897,Drilling
166897,Evaluation
166897,Completion
166897,Production
166897,Intervention
1475190,Payroll & Benefits Administration
1475190,Workers'​ Compensation
1475190,Human Resources
1475190,Loss Control
1475190,Workplace Safety
1475190,Employer Services
1475190,OSHA Training
1475190,Innovative Solutions
1475190,PEO
1475190,professional employer organization
1475190,HCM
1475190,human capital management
1475190,outsourcing
1475190,HR technology
1475190,talent management
1441,search
1441,ads
1441,mobile
1441,android
1441,online video
1441,apps
1441,machine learning
1441,virtual reality
1441,cloud
1441,hardware
1441,artificial intelligence
1441,youtube
1441,software
3828102,Staffing and  Recuritment
3828102,IT Support
3828102,Digital Marketing
3828102,Software Development
3828102,Web Application Delvelopment
64608820,electric vehicle trends
64608820,electric vehicles
64608820,automotive data
64608820,sustainable mobility
64608820,vehicle production
64608820,vehicle technology
64608820,automotive insights
64608820,Global Auto Demand Tracker
64608820,vehicle demand
64608820,vehicle parts demand
64608820,vehicle identification
3750699,Data Protection
3750699,Security
3750699,Ransomware Recovery
3750699,Data Security
3750699,Data Management
3750699,SaaS
3750699,Software
3750699,Hybrid Cloud
3750699,Cloud
3750699,Multicloud
3750699,Cyber Recovery
3750699,Data Recovery
3750699,Disaster Recovery
3750699,Data Infrastructure
3750699,Data Center
3750699,IT
3750699,Business Continuity
3750699,Analytics
3750699,Test & Dev
3750699,Distributed Systems
3750699,Information Technology
3750699,Digital Transformation
3750699,AI
3750699,Generative AI
3750699,Cyber Resilience
3750699,Data Resilience
3750699,Backup and Recovery
3750699,Instant Mass Restore
3750699,Long-Term Retention
3750699,Threat Protection
3750699,Data Classification
3750699,Data Mobility
3750699,Data Migration
3750699,Data Replication
3750699,Data Insights
3750699,Responsible AI
3750699,AI Conversational Search
3750699,Conversational AI
417459,Our Recruitment specialties lies in
417459,Advertising Media
417459,Manufacturing
417459,Other Service Industries
417459,Information Techonology
417459,Recruitment Franchise
417459,Franchise
821880,Aeroengines
821880,Aerostructures
821880,WSPS
821880,Rockets
821880,Space
821880,Sand Castings
821880,MRO
100062393,Lithium Battery
100062393,Manufacturing
100062393,Battery Management System
100062393,Thermal Management System
100062393,Energy Storage System
100062393,Two Wheeler Battery
100062393,Three Wheeler Battery
100062393,Cloud-Connected Battery Packs
100062393,Innovative Battery
100062393,Electric Vehicle Battery Solutions
100062393,Data-Driven Energy Management
100062393,Sustainable Technology
100062393,Grid Scale Storage Solution
100062393,AIS156/AIS048 Battery
100062393,Smart Energy Solutions
100062393,Global energy demand
100062393,Real-Time Battery Health Monitoring
100062393,Battery Manufacturing 4.0
100062393,High-Efficiency Energy Solutions
100062393,Industry Leadership
100062393,Sustainable Manufacturing
234625,Zero Trust
234625,SASE
234625,Cloud Security
234625,CASB
234625,Secure Web Gateways
234625,Secure Remote Access
234625,Cloud Sandbox
234625,Cloud Firewall
234625,CSPM
234625,Workload Segmentation
234625,SSE
15656,Cities
15656,Commercial & Residential
15656,Education
15656,Governments
15656,Healthcare
15656,Industrial
15656,Leisure & Hospitality
15656,"Oil, Gas & Chemicals"
15656,Power
15656,Sports & Venues
15656,Transportation
15656,Water
513983,Conformity Assessment
513983,ISO Certification
513983, FSSAI Audits
513983, CE Marking
513983,ERDMP 
513983,CGD Inspection
513983,T4S
513983,Pipeline Integrity Managment System
513983,ZED
513983, ICMED 9000
513983,vendor inspectio
297963,CFD
297963,FEA
297963,CAE
297963,Engineering Services
297963,CAE Training
297963,CAD
297963,Meshing
297963,Acoustic
297963,Prototyping
297963,aerospace
297963,automotive
297963,construction
297963,electronics 
297963,general engineering
297963,oil and gas 
297963,process industry
297963,nuclear
297963,turbo machinery
10367291,ERP Processes
10367291,Hyperautomation-as-a-Service
10367291,SaaS
10367291,Integration
10367291,Automation
10367291,Business process automation
10367291,Purchase order automation 
10367291,Digital Transformation
10367291,ETL
10367291,Event driven Automation
10367291,Automatic error handling  
10367291,RPA
14518748,Spend Analysis
14518748,Contract Management
14518748,Strategic Sourcing
14518748,Supplier Evaluation
14518748,Procurement
14518748,Sourcing
14518748,RFP Management
14518748,Negotiation Automation
14518748,Tail Spend Management
14518748,RFP/RFQ Automation
14518748,Intake-to-Award
26945,Marketing Analytics
26945,Advanced Analytics
26945,Forecasting
26945,Customer Lifetime Value
26945,Pricing & Promotions Optimization
26945,Consumer Insights
26945,Customer Lifecycle Management
26945,Customer Analytics
26945,Predictive Analytics
26945,Artificial Intelligence
26945,Machine Learning
26945,Integrated Marketing Effectiveness
26945,Data Science
26945,behavioral science
26945,design thinking
26945,data engineering
26945,Agentic AI
581027,Test Prep
581027,Academic Tutoring
581027,Online Learning
581027,Internet
581027,Technology
581027,High-Dosage Tutoring
80048535,Augmented Analytics
80048535,Decision Intelligence
80048535,Data Engineering
80048535,Digital Engineering
80048535,Artificial Intelligence
80048535,Generative AI
80048535,Analytics
80048535,Machine Learning
80048535,Data Science
99040985,ROBOTICS
99040985,PRODUCT DEVELOPMENT
99040985,ELECTRONICS
99040985,MECHANICAL
99040985,SOFTWARE
99040985,ENGINEERING DESIGN
99040985,LARGE SCALE MANUFACTURING 
99040985,INDUSTRIAL AUTOMATION
102940938,IT Services and Consulting
102940938,Staff Augmentation 
102940938,Custom App Development 
102940938,Mobile App Development
102940938,Application Modernization
102940938,API & Microservices
102940938,Cloud Migration and Modernization
99402135,Security Services
99402135,Comprehensive Facility Management
99402135,Housekeeping services
99402135,MEP Services
99402135,Skill Development & Training
99402135,Manpower Services
7584087,Big Data
7584087,Big Data Reconciliation
7584087,Insurance
7584087,Banking
7584087,Healthcare
7584087,Data Observability
7584087,Data Trustability
7584087,Data Quality
7584087,Autonomous Data Quality
7584087,Data Pipeline Trustability
7584087,Data Matching
7584087,Machine Learning
7584087,Generative AI
78631427,Software and Web Development
78631427,Enterprise Solutions
78631427,Mobile Application
78631427,IoT Solutions
78631427,Cloud Migration
78631427,ECommerce Solutions
78631427,Digital Marketing
78631427,Telecom BSS/OSS
317299,BPM Solutions
317299,CX Management
317299,Digital Transformation
317299,Data Annotation Services
317299,Call Center
317299,Business Process Outsourcing
317299,Debt Collection Services
317299,Tech Support
317299,App Support Call Center
317299,ECommerce Support
317299,Industry specific BPO Services
317299,BPO Services
317299,retail call center
317299,BFSI contact Center
317299,Customer Experience Services
317299,Healthcare Revenue Cycle
30754506,Sustainability
30754506,Design
30754506,Future Cities
30754506,Industrial
30754506,Digitalisation
30754506,Buildings
30754506,Architecture
30754506,Connected Products
30754506,Energy
30754506,Mobility
30754506,Infrastructure
30754506,Transportation
30754506,Process Industries
30754506,Automation
30754506,IT Solutions
30754506,Food and Pharma
30754506,Automotive
30754506,Consulting
30754506,Hydro
30754506,AI
30754506,Clean Energy
30754506,Management Consulting
1090,Healthcare
1090,Medical Devices
1090,Health systems
1090,Cardiology
1090,Healthtech
1090,Oncology
1090,Respiratory
1090,"Fertility, pregnancy"
1090,Connected Care
71818900,mobile app development
71818900,web application development
71818900,QA Automation
71818900,ERP & CRM Product Development and Customisation 
71818900,Artificial Intelligence
71818900,Machine Learning
71818900,Devops Engineering
71818900,Internet of Things (IoT)
71818900,Blockchain
109949100,transparency 
109949100,trustworthy
109949100,customer friendly
432613,Software Development Services
432613,Mobile Solutions
432613,Information Management
432613,Business Process Outsourcing
432613,Enterprise Data Management
432613,IT Services
432613,Big Data & BI Reporting
432613,Enterprise Search & Discovery
432613,Managed Infrastructure Services
432613,Managed Support Services
432613,IT Consulting
235176,Robotics
235176,automation
235176,process optimisation
235176,lightweight robots
235176,collaborative robots
235176,cage free robots
235176,Cobots
235176,cobot
235176,industrial automation
235176,Easy programming
105305001,Blockchain
105305001,Web3
105305001,Marketing
105305001,GTM
105305001,Growth
105305001,Content
105305001,Crypto
105305001,Advisory
105305001,Consulting
105305001,Operations
105305001,Events
10595,Advisory
10595,Cost and Commercial Management
10595,PMO and Planning
10595,Programme and Project Management
10595,Responsible Business
5328,Fashion
5328,Retail
105059773,Financial Services
105059773,AI Agents
105059773,RPA
105059773,Business Intelligence
105059773,Software Development
105059773,Venture Capitalist 
105059773,Automation
105059773,Marketing
105059773,Lead Generation 
105059773,Revenue Growth
105059773,Global Expansion
105059773,Blockchain
105059773,Generative AI
8049,telecommunications
8049,carrier ethernet
8049,broadband access
8049,FTTH
8049,Optical Networking Edge
8049,Wi-Fi
8049,SD-Access
8049,Vectoring
8049,FTTx
8049,RFoG
8049,EPON
8049,10G
8049,Open Networks
8049,Broadband
8049,Fiber Access
81537800,Cyber Security
81537800,Cloud Security
81537800,Web Application Security
81537800,DevSecOps
81537800,Vulnerability Assessment
81537800,Pentesting
81537800,Red Teaming
81537800,Network Security
81537800,Infra Security
81537800,Consulting
10622667,Product strategy and development
10622667,Solution Architecture and Design
10622667,Web and Mobile App Development
10622667,Cloud Hosting and Migration
10622667,Machine Learning
10622667,Gen AI
10622667,Data Analytics
10622667,RPA
10622667,Salesforce
10622667,UI/UX Design
10622667,Healthcare IT
10622667,AI Automation
10622667,DevOps/MLOps
28707255,real estate
9333781,Topographical Survey
9333781,Soil / Geotechnical  Investigation
9333781,Architectural & Structural Design Consultancy
9333781,Estimation and BBS preparation
9333781,Construction Material Testing
9333781,Third Party Quality Assurance
9333781,Project management Consultancy
9333781,Non Destructive Testing (NDT)
9333781,Building Information Modeling (BIM)
3882576,Cybersecurity
3882576,Network Security
3882576,Cloud Security
3882576,Zero Trust
3882576,Secure Enterprise Browser
3882576,Enterprise Browser
3882576,Browser Security
3882576,SSE
3882576,Phishing Prevention
3882576,Ransomware Prevention
5140,IT Consulting
5140,Technology and Outsourcing Services
5140,Application Maintenance
5140,Development
5140,Systems Integration
5140,Digital Transformation
5140,Digital Engineering
5140,Cloud Transformation
5140,Emerging Technology
5140,Artificial Intelligence
5140,Platform Engineering
5140,Product Engineering
